Model,Green Ai Score,Accuracy (%),CO2 (kg),Rank
SimpleCNN,13471.661303800234,78.28,0.005809716157027932,1
ResNet-18,4766.37261058354,91.71,0.01924004712173815,2
MobileNetV2,4144.292190500983,88.88,0.021445364279941304,3
